Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2018,07/14/2018,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Lady of Miracles,MICHAEL A. MICELI,DYLAN DAVIS,Lady of Miracles-Tr. Mike Miceli.Was taken off of the track in the horse ambulance after winning the 1st race,
2016,09/21/2016,RACING INCIDENT,Belmont Park (NYRA),Belmont Dirt 6 1/2 Furlongs,Racing,Thoroughbred,Mostly sunny 73,Captain Serious,MICHAEL E. HUSHION,DYLAN DAVIS,Captain Serious-Tr. Michael E. Hushion-pulled up vanned off-claim voided-retired,
2016,06/15/2016,RACING INCIDENT,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,Clear,Captain Serious,MICHAEL E. HUSHION,JOSE L. ORTIZ,Captain Serious-Tr. Michael Hushion-pulled up after a series of bad steps-vanned off-no injury reported,
2018,07/14/2018,RACING INCIDENT,Belmont Park (NYRA),5/8 pole,Racing,Thoroughbred,84* Clear,Partagas B C,MICHAEL N. DILGER,MICHAEL J. LUZZI,Horse Partagas B C/Tr-M. Dilger-pulled up at the 5/8 pole-vanned off-checked by vet-no injuries reported-in training,
2016,03/20/2016,EQUINE DEATH,Belmont Park (NYRA),Stall,Other,Thoroughbred,,Basanite,MICHAEL N. DILGER,,Basanite-Tr. Michael Dilger-unraced filly died 10 minutes after being  medicated with Prednisolone and Acepromazine-adverse drug reaction,Equine Death
2018,06/09/2018,RACING INCIDENT,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,75* Clear,Just Whistle,MICHAEL R. MATZ,JOSE L. ORTIZ,Just Whistle-Tr-M. Matz-pulled up at the 1/4 pole- vanned off in the 13th race-scan showed bone bruising  horse turned out for recuperation,
2019,09/13/2019,RACING INCIDENT,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,,Imperioso,MICHAEL STIDHAM,JOEL ROSARIO,Imperioso pulled up at 1/4 pole during the running of the 6th race and was vanned off the track.,
2016,10/15/2016,EQUINE DEATH,Belmont Park (NYRA),1/2 mile pole,Racing,Thoroughbred,,Cinder Block,MICHAEL V. PINO,KENDRICK CARMOUCHE,Cinder Block-Tr. Mike Pino-pulled up-vanned off-RF leg fracture-euthanized,Equine Death
2018,06/17/2018,RACING INJURY,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,85* Clear,GO LASSIE GO,MICHELLE C. NEVIN,MANUEL FRANCO,Go Lassie Go-Tr-M. Nevin-was struck by horse Freeze the Account-Rider was unseated-Go Lassie Go was vanned off the track-suffered cuts and abraisions but doing fine,Accident
2020,12/10/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont,Training,Thoroughbred,Sunny/50's,Dorothy's Star,MICHELLE C. NEVIN,GAVIN COETZEE,H; Dorothy's Star  Tr: Michelle Nevin  horse euthanized after sustaining leg injury at Belmont TT.,Equine Death
2016,05/06/2016,RACING INCIDENT,Belmont Park (NYRA),1/16 pole,Racing,Thoroughbred,50* Cloudy,SHOTGUN LOVE,MICHELLE C. NEVIN,JOSE L. ORTIZ,Shotgun Love-Tr. Michelle Nevin-pulled up-eased to the wire-no injuries reported,
2020,09/24/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,,Variant Perception,MICHELLE C. NEVIN,,H- Variant Perception  Jockey-Jose Ortiz Tr-Nevin Michelle  during the 8th race horse was vanned off after the wire.,
2016,10/30/2016,RACING INCIDENT,Belmont Park (NYRA),AT THE WIRE,Racing,Thoroughbred,,Boomerang Toy,MICHELLE C. NEVIN,JOSE L. ORTIZ,Boomerang Toy-Tr. Michelle Nevin-was eased at wire-no injuries reported,
2016,07/03/2016,RACING INCIDENT,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,,Gimme Jimmy,MICHELLE C. NEVIN,AARON T. GRYDER,Gimme Jimmy-Tr. Michele Nevin-ambulanced off after finish-no injury reported-horse to be retired,
2018,06/15/2018,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,80* clear,FRAU BLUCHER,MICHELLE C. NEVIN,MANUEL FRANCO,Frau Blucher-Tr-M. Nevin-pulled up after the finish of the 5th race-vanned off-Fx pelvis-to be retired,
2017,09/27/2017,RACING INCIDENT,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,77* Clear,Unbridled Charge,MIKE J. MAKER,KENDRICK CARMOUCHE,Unbridled Charge-Tr-M. Maker was pulled up at the  3/8 pole and walked off under own power-Investigation to follow,
2020,02/08/2020,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,Clear  windy,A FREUD OF MAMA,MIKE J. MAKER,ADELWUIN CHAVEZ,A FREUD OF MAMA  racehorse with Tr: Michael M. Maker; passed away after Post-Op complications at Ruffian Hospital related to injury sustained on Belmont T.T. on 1/24/20. Investigation initiated.,Equine Death
2017,09/02/2017,EQUINE DEATH,Belmont Park (NYRA),At wire,Training,Thoroughbred,,IRISH PRAYER,MIKE J. MAKER,,Irish Prayer-Tr. Mike Maker-Fx LF Sesamoids breezing-euthanized on track,Equine Death
2019,10/14/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont,Training,Thoroughbred,70,Mo Fun,MIKE J. MAKER,KODY M. KELLENBERGER,Mo Fun Tr. Mike Maker - suffered a cardiovascular collapse while training at Belmont investigation continues.,Equine Death
2020,12/23/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont TT,Training,Thoroughbred,43,Vermont Billy,MIKE J. MAKER,ADELWUIN CHAVEZ,H-Vermont Billy  (Tr. Michael Maker) sustained LF leg injury while training on Belmont TT.  Radiographs revealed extent of injuries and horse was euthanized due to poor prognosis.,Euthanasia
2018,06/14/2018,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,75* Clear,Classy Cara,MITCHELL E. FRIEDMAN,,Horse Classy Cara/Tr-M. Friedman was pulled up while breezing-ambulanced off the track- X-Rays revealed Fx RF Sesamoid-euthanized.,
2018,06/17/2018,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Micozzi,NAIPAUL R. CHATTERPAUL,JULIO M. PEZUA,Micozzi-Tr.Niapaul Chatterpaul-Pulled up after the finish of the race-taken off the track in the horse ambulance.,
2016,10/11/2016,EQUINE DEATH,Belmont Park (NYRA),Barn/Stall,Other,Thoroughbred,,Willy,NAIPAUL R. CHATTERPAUL,,Willy (pony)-Tr. Naipaul Chatterpaul-treated for colic without improvement-euthanized,Equine Death
2018,05/05/2018,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,70* partly Cloudy,Micozzi,NAIPAUL R. CHATTERPAUL,DYLAN DAVIS,Micozzi-Tr-N. Chatterpaul-pulled after the finish-vanned off-no injury reported-vanned off as precaution,
2018,06/21/2018,RACING INJURY,Belmont Park (NYRA),1/16 pole,Racing,Thoroughbred,80* Clear,Osheen,NICHOLAS P. ZITO,DYLAN DAVIS,Osheen-Tr-N. Zito-pulled up at 1/16 pole in the 4th race-vanned off-vet examination found no injuries,
2018,06/27/2018,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,Cloudy/70,Luzinski,NORMAN C. FOLLETT,PABLO FRAGOSO,Luzinski - Tr. Norman Follet - was pulled up in the vicinity of the 1/4 pole.  Euthanized on track. Investigation to follow.,Injury
2019,12/16/2019,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,37,Riot Worthy,ORLANDO J. NODA,,RIOT WORTHY ( Tr. Orlando Noda) sustained RH leg injury while galloping on the Belmont training track.  Radiographs revealed the extent of injury necessitated euthanasia.  Inv. Initiated.,Euthanasia
2020,07/12/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Other,Thoroughbred,,Celebration (GB),ORLANDO J. NODA,,CELEBRATION (GB)  (Tr. Orlando Noda) euthanized at Ruffian clinic after battling pleuropneumonia approximately one week. Inv initiated.,Euthanasia
2020,12/13/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,sunny/50's,Hot Diggitty,ORLANDO J. NODA,MANUEL FRANCO,H; Hot Diggitty (NY)  Jockey: Manuel Franco Tr: Orlando Noda  during the 7th race horse clipped heels before the 3/4 pole and unseated the rider.,
2020,06/03/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Too Fast to Pass,OSCAR S. BARRERA III,ROMERO R. MARAGH,Too Fast To Pass Tr: Oscar S Barrera 111 J: Romero  Ramsay Maragh 4 th race horse pulled up  DNF  vanned off. Investigation started.,
2020,06/12/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Too Fast to Pass,OSCAR S. BARRERA III,ROMERO R. MARAGH,Too Fast To Pass (Tr: Oscar S Barrera III)  DNF and vanned off during 4th race 6/3/2020.  Subsequent veterinary examination and treatment revealed necessity for euthanasia. Investigation started.,Euthanasia
2016,09/17/2016,EQUINE DEATH,Belmont Park (NYRA),3/8 pole-TT,Training,Thoroughbred,60* Clear,Casanova Killer(14),OSCAR S. BARRERA III,,Casanova Killer (Unraced 2yo)-Tr. Oscar S. Barrera III-suffered fx L humerus galloping-euthanized,Equine Death
2019,06/16/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,sunny  warm,Equal the Score,OSCAR S. BARRERA III,ANDREA C. RODRIGUEZ-CAEZ,EQUAL THE SCORE (Tr:  Oscar Barrera; J;  Andrea Rodriguez) faded down the lane and was vanned off the track. Investigation initiated.,
2020,05/31/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,70,Abraxan,OSCAR S. BARRERA III,,H-ABRAXAN (Tr. Gary Sciacca)  4yo filly  pulled up at 1/8 pole  rider off  and ambulanced to barn. Subsequent examination revealed leg injury necessitating euthanasia.  Investigation initiated.,Euthanasia
2017,06/25/2017,EQUINE DEATH,Belmont Park (NYRA),1/4 Pole,Racing,Thoroughbred,80,Non Stop,OSCAR S. BARRERA III,FRANCISCO ARRIETA,Non Stop-Tr. Oscar Barrera III-rider attempted to pull up but jumped off-horse ran loose-caught at wire-sedated-splint applied-vanned to barn-xrays revealed fx RF sesamoid with ligament rupture-euthanized,Equine Death
2016,06/25/2016,RACING INCIDENT,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,,Jacob's Here,PATRICK J. QUICK,DYLAN DAVIS,Jacobs Here-Tr. Patrick Quick-pulled up-ambulanced off-retired,
2016,06/18/2016,RACING INJURY,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,80* Clear,Mind That Diamond,PATRICK J. QUICK,JACQUELINE A. DAVIS,Mind That Diamond-Tr. Patrick Quick-pulled up-vanned off (x-ref #009.16),
2017,07/14/2017,EQUINE DEATH,Belmont Park (NYRA),after the finish,Racing,Thoroughbred,Rain/75,Sapporo,PATRICK J. QUICK,LUIS R. REYES,Sapporo-Tr. Patrick Quick-pulled up-sedated-ambulanced off-sustained right carpal slab fx-euthanized,Euthanasia
2017,01/27/2017,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,,Jules,PATRICK J. QUICK,,Jules-Tr. Patrick Quick-11 yo retired racehorse used as pony-dx w/ squamous cell carconoma-devoloped secondary complications-euthanized,
2019,10/10/2019,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,cool and cloudy,E Z for You to Say,PATRICK J. QUICK,HEMAN K. HARKIE,E Z FOR YOU TO SAY  Tr: Patrick Quick - euthanized in stable at Belmont Racetrack for severe laminitis.,Euthanasia
2019,06/15/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,75,Parlapiano,PATRICK J. QUICK,JUNIOR R. ALVARADO,PARLAPIANO (Tr:  P. Quick; J:  Junior Alvarado) was pulled up in the vicinity of the 1/8 pole  and removed via the horse ambulance.,
2016,02/24/2016,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,,Klassic Pat,PAUL W. BARROW,,Klassic Pat-Tr. Paul Barrow-euthanized due to colitis,Equine Death
2020,06/26/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Wisecrack,PETER N. TOURNAS,ROMERO R. MARAGH,Wisecrack Tr: Peter Tournas J: Romero Maragh Race 2 at the 1/8 pole DNF Vanned off.,
2020,06/17/2020,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,,MYSTICAL SONG (NY),PHILIP M. SERPE,,MYSTICAL SONG-Tr. Serpe- on 6/17/20  found dead in stall at Belmont racetrack while under veterinarian care for gastrointestinal disease. Investigation initiated.,Equine Death
2016,09/11/2016,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,80* partly cloudy,Artie Crasher,PHILIP M. SERPE,DYLAN DAVIS,Artie Crasher-Tr. Philip Serpe-pulled up-vanned off-injured RF Sesamoid-retired,Injury
2018,05/18/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,,Terry O Geri,RAINDRANAUTH (RANDI) PERSAUD,,Terry O Geri/Tr.Randy Persaud-Found dead in stall two days after having colic surgery at Ruffian Clinic.,Equine Death
2019,07/11/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Training,Thoroughbred,83,Silence Dogwood 17,RAINDRANAUTH (RANDI) PERSAUD,,Silence Dogwood 17-Tr. R. Persaud-Fx LF Sesamoids breezing on main track-ambulanced to barn-euthanized,Equine Death
2018,05/03/2018,RACING INJURY,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,80* Clear,Bunyaan,RAINDRANAUTH (RANDI) PERSAUD,ABEL LEZCANO,Bunyaan-Tr.R. Persaud-pulled up shortly after start-vanned off.,
2020,11/08/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Training,Thoroughbred,sunny & clear,Golden Zapper,RAINDRANAUTH (RANDI) PERSAUD,EDGAR PIMENTEL,H: Golden Zapper  Tr: R. Persaud  Unraced sustained injury while training at Belmont TT at 3/4 pole. Horse subsequently euthanized do to his injury by Dr. Perez.,
2018,05/06/2018,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,59 * Cloudy,Desert Affair,RANDRANAUTH PERSAUD,MICHAEL J. LUZZI,Desert Affair-Tr-R. Persaud sustained RF injury at the 1/4 pole-euthanized on the track.,
2016,05/28/2016,RACING INCIDENT,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,,Crowd Funding,RAYMOND G. HANDAL,JUNIOR R. ALVARADO,Crowd Funding-Tr. Raymond Handel-pulled up-eased thru stretch-no injuries reported-back racing,
2016,06/01/2016,EQUINE DEATH,Belmont Park (NYRA),Main Track,Training,Thoroughbred,,Noble's Whim,RICHARD A. VIOLETTE JR,,Noble's Whim-Tr. Richard Violette-suffered a fracture to her left shoulder while galloping-euthanized,Equine Death
2016,05/18/2016,EQUINE DEATH,Belmont Park (NYRA),1/2 Pole,Racing,Thoroughbred,Clear,Karenina Gal,RICHARD A. VIOLETTE JR,IRAD ORTIZ JR,Karenina Gal - Tr. Richard Violette-pulled up-fx RH cannon  sesamoids & P1-sedated-vanned off-euthanized,
2019,02/26/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,Cold  clear,For Pops,RICHARD E. SCHOSBERG,,FOR POPS (Tr. Richard Schosberg)  collapsed and died on the Belmont training track.,Equine Death
2017,07/07/2017,RACING INCIDENT,Belmont Park (NYRA),Belmont tunnel,Racing,Thoroughbred,sunny,Jumpinjack,ROBBIE G. DAVIS,,Jumpinjack-Tr. Robbie Davis-horse went to knees in tunnel after leaving track-recovered-treated for heat related incident-walked back to barn-no other injuries reported,
2016,06/22/2016,RACING INCIDENT,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,,Touching My Toes,ROBERT A. BARBARA,JOSE LEZCANO,Touching My Toes-Tr. Robert Barbara-pulled up-ambulanced off-claim voided-no longer racing-retired.,
2016,07/16/2016,RACING INCIDENT,Belmont Park (NYRA),After finish,Racing,Thoroughbred,90* Cloudy,Time for Angie,ROBERT A. BARBARA,JOSE LEZCANO,Time for Angie-Tr. Robert Barbara-pulled up-ambulanced off-horse rested and back training,
2016,06/12/2016,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,,Majestic Jo,ROBERT A. BARBARA,,Majestic Joe-Tr. Robert Barbara-unraced 2yo sustained injury while breezing-walked back to barn-xrays revealed RF cannon bone & sesamoids fx-euthanized,Equine Death
2017,04/22/2017,EQUINE DEATH,Belmont Park (NYRA),At wire on Training Track,Training,Thoroughbred,,Receiver,ROBERT A. BARBARA,,Receiver-Tr. Robert Barbara-sustained RF suspensory ligament rupture breezing-ambulanced off-euthanized,Equine Death
2019,06/22/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,85,The Big Lebanese,ROBERT A. BARBARA,KENDRICK CARMOUCHE,THE BIG LEBANESE (Tr:  R. Barbara;  J:  K. Carmouche) was pulled up nearing the 1/2 pl e and taken back to the barn via the horse ambulance.  Investigation to continue.,
2018,06/29/2018,RACING INCIDENT,Belmont Park (NYRA),After the finish,Racing,Thoroughbred,85* Clear,Cumulative,ROBERTINO DIODORO,DAVID L. COHEN,Cumulative-Tr-R. Diodoro-pulled up after the finish of the 9th race- vanned off-no injuries reported,
2017,07/16/2017,RACING INCIDENT,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,,One penny piece,ROBERTINO DIODORO,ANGEL S. SAEZ-ARROYO,One Penny Piece-Tr. Robert Diodoro-pulled up after finish-ambulance off-Fx pastern requiring surgery-stall rest.,Injury
2018,09/08/2018,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,68,Quaff,ROBERT J. RIBAUDO,,Quaff (tr: Robert Ribaudo) removed from track via Horse Ambulance during training hours.  Euthanasia recommended due to poor prognosis from leg injuries.,Injury
2016,05/26/2016,EQUINE DEATH,Belmont Park (NYRA),Main Track,Training,Thoroughbred,,Quaralia,ROBERT J. RIBAUDO,,Quaralia-Tr. Robert Ribaudo-pulled up lame while breezing-ambulanced off-xrays revealed fx RF cannon bone and sesamoid-euthanized,Equine Death
2019,10/03/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont Inner Track,Racing,Thoroughbred,Rainy  cool,Aquariva,ROBERT J. RIBAUDO,KENDRICK CARMOUCHE,AQUARIVA in 4th race was pulled up before crossing the wire and vanned off as a precaution.  No injury to horse.,
2019,12/21/2019,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,dry  clear and cold,I SWEAR I'LL BEHAVE (FL),ROBERT P. KLESARIS,,I SWEAR I'LL BEHAVE (FL) racehorse; Tr: Robert Klesaris; suffered a RF suspensory injury approx 1 to 2 months ago and developed supporting limb laminitis in the LR. Declining condition over last 4 days and euthanized by D. Galvin. Investigation initiated.,Equine Death
2019,12/09/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,46,Dino Three O Nine,ROB J. ATRAS,BRAULIO FERNANDEZ,DINO THREE O NINE (Tr.Rob Atras) sustained injury to RF leg while training on Belmont Training Track  injury prognosis  necessitated euthanasia.,Euthanasia
2017,09/17/2017,EQUINE DEATH,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,75* Clear,Top Fortitude,ROB J. ATRAS,ANGEL S. SAEZ-ARROYO,Top Fortitude-Tr. Rob Atras - fell at 3/8 pole-unseated Rider Angel Saez-Arroyo-Fx LF Meidal Sesamoid-euthanized on track,
2020,05/06/2020,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,55,Call Paul,ROB J. ATRAS,PEDRO MORALES,H-Call Paul (Tr. Rob Atras) sustained injury to LH leg while breezing on Belmont Training track  necessitating euthanasia.,Euthanasia
2020,10/09/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,,Vincero,ROB J. ATRAS,,H-Vincero  Tr-Rob. Atras  Jcky-Manuel Franco  on the 6th race horse got pulled up after the finish and was subsequently vanned off.,
2020,04/23/2020,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,,Appealing Briefs,ROB J. ATRAS,,H- Appealing Briefs (Tr Rob Atras)  6yo gelding last raced at Gulfstream  euthanized due to poor prognosis of LH cellulitis. Investigation initiated.,Euthanasia
2020,10/04/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,Sunny,Tikhvin Flew,ROB J. ATRAS,KENDRICK CARMOUCHE,Tikhvin Flew (horse)  Tr-Rob Atras  During the 5th race  horse was vanned off by the 1/4 pole after sustaining RF leg injury. Subsequent exam by vet revealed necessity for euthanasia.,
2019,10/23/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,62,One River Place,RODOLFO (RUDY) RODRIGUEZ,LUIS SAEZ,One River Place (Tr: Rudy Rodriguez) DNF race  vanned off.,
2020,01/20/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont training track,Training,Thoroughbred,,Jewel Can Disco,RODOLFO (RUDY) RODRIGUEZ,HECTOR R. DIAZ JR,Horse Jewel Can Disco-Tr. R. Rodriguez- sustained an injury while breezing at Belmont Training track was ambulanced to barn and radiographed and euthanized.,Equine Death
2016,10/23/2016,RACING INJURY,Belmont Park (NYRA),1/4 mile pole,Racing,Thoroughbred,Sunny,Midnight Hawk,RODOLFO (RUDY) RODRIGUEZ,IRAD ORTIZ JR,Midnight Hawk-Tr. Rudy Rodriguez-pulled up-ambulanced off-injury to left front tendon-retired to stud,Injury
2016,10/20/2016,EQUINE DEATH,Belmont Park (NYRA),Stall,Other,Thoroughbred,,Winter Games,RODOLFO (RUDY) RODRIGUEZ,,Winter Games-Tr. Rudy Rodriguez-suffered fx to RR leg- later euthanized,Equine Death
2019,09/14/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,Clear  cool,MARU,RODOLFO (RUDY) RODRIGUEZ,MANUEL FRANCO,Maru - Tr: Rudy Rodriguez - was vanned off the track after the finish - Investigation continues.F,
2019,09/12/2019,EQUINE DEATH,Belmont Park (NYRA),,Racing,Thoroughbred,Cloudy  warm,Deft,RODOLFO (RUDY) RODRIGUEZ,JUNIOR R. ALVARADO,Deft - Tr. Rudy Rodriguez - was pulled up in the vicinity of the 1/16 pole  and subsequently euthanized on track due to injury.,
2020,06/13/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Come On E. V.,RODOLFO (RUDY) RODRIGUEZ,REYLUIS A. GUTIERREZ,Come On E.V.Tr: RR Rodriguez J: Reylu Gutierrez Horse was vanned off the track after the race.,
2020,06/14/2020,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,,Traveling,RODOLFO (RUDY) RODRIGUEZ,JOSE LEZCANO,Racehorse  TRAVELING (KY)  on Sunday  6/14/20  in the 6th race  wandered to outside fence walked across finish line  was pulled up and vanned off in the horse ambulance. Investigation initiated.,Injury
2020,07/02/2020,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,Hot  humid 90 degrees,MR SHORTAND SIMPLE,RODOLFO (RUDY) RODRIGUEZ,JORGE A. VARGAS JR,MR SHORTANDSIMPLE (KY)  racehorse with Tr. Rudy Rodriguez  on Friday 7/2/20 in race 6 did cross the wire in some distress and was vanned off in the ambulance.,
2018,10/28/2018,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,,A True Giant,RODOLFO (RUDY) RODRIGUEZ,,H-A True Giant (Tr. Rudy Rodriguez) developed severe laminitis subsequent to injury sustained three weeks prior  euthanized in stall. Inv. Continues.,Euthanasia
2020,11/03/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Main,Training,Thoroughbred,56,High Knuckles,RODOLFO (RUDY) RODRIGUEZ,BLAKE RODRIGUEZ,H- High Knuckles (Tr. Rudy Rodriguez) pulled up severely lame at 3/8 pole  splint applied and ambulanced to barn where examination revealed necessity for euthanasia. Inv continues.,Equine Death
2019,06/09/2019,EQUINE DEATH,Belmont Park (NYRA),3/8th pole,Racing,Thoroughbred,,Inflection,RODOLFO (RUDY) RODRIGUEZ,MANUEL FRANCO,Inflection - Tr. Rudy Rodriguez - was pulled up in the vicinity of the 3/8ths pole and vanned off.  Subsequently euthanized due to poor prognosis. Investigation continues.,Euthanasia
2019,05/25/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,,Thunder's Honor,RODOLFO (RUDY) RODRIGUEZ,MANUEL FRANCO,THUNDER'S HONOR (Tr:  Rudy Rodriguez;  J:  Manuel Franco) was removed via the horse ambulance after the race.   Rider is fine.  Investigation to continue.,
2016,10/02/2016,EQUINE DEATH,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,70* Cloudy,Fort Smith,RON E. MOQUETT,,Fort Smith-Tr. Ron Moquett-pulled up-vanned off-fx RF leg-euthanized-investigation continues,Equine Death
2016,10/22/2016,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,,Old Harbor,RUSSELL J. CASH,MANUEL FRANCO,Old Harbor-Tr. Russell Cash-pulled up-ambulanced off track-wrenched ankle  damaged ligaments-retired as brood mare,Lameness
2016,06/16/2016,RACING INCIDENT,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,78* Cloudy,My two J's,SCOTT M. SCHWARTZ,DYLAN DAVIS,My Two J's-Tr. Scott Schwartz-pulled up in stretch-walked off track-returned to racing.,
2017,06/25/2017,RACING INJURY,Belmont Park (NYRA),5/8 pole,Racing,Thoroughbred,80* Parly cloudy,She's All Love,STEVE N. KLESARIS,ANGEL S. SAEZ-ARROYO,She's All Love-Tr. Steve Klesaris - pulled up - vanned off-pulled muscle hind leg-retired to New Vocations,Injury
2016,07/16/2016,RACING INCIDENT,Belmont Park (NYRA),After finish,Racing,Thoroughbred,90* Cloudy,Mary's In Utopia,STEVEN T. JERKENS,PABLO FRAGOSO,Mary's in Utopia-Tr. Steve Jerkens-pulled up-ambulanced off-no reported injuries-horse back racing,
2018,10/26/2018,EQUINE DEATH,Belmont Park (NYRA),Finish line,Training,Thoroughbred,45* Cloudy,Rahy's Bandit,SUSAN F. OUELLETTE,,Horse Rahy's Bandit/Tr-S. Ouellette suffered a fracture to her right front leg while breezing and was euthanized on the track.,
2017,05/17/2017,EQUINE DEATH,Belmont Park (NYRA),Post Parade,Racing,Thoroughbred,,Classy Chris,THOMAS ALBERTRANI,JAVIER J. CASTELLANO,Classy Chris-Tr. Tom Albertrani-unseated rider Javier Castellano-ran through rail-sustained fx LR leg-sedated-ambulanced off-euthanized,Accident
2018,02/16/2018,EQUINE DEATH - INFECTIOUS DISEASE,Belmont Park (NYRA),Belmont,Other,Thoroughbred,,Ladies Day,THOMAS ALBERTRANI,,Ladies Day.Tr.-Thomas Albertrani.Dr. Chan reported filly recumbent in stall-could not rise-euthanized following day- EHV-1,Equine Death
2019,03/09/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,47,Queen of Umaill,THOMAS ALBERTRANI,CARLOS J. HERNANDEZ,Queen of Umaill (Tr. T. Albertrani) pulled up with lame LF at 5/16 pole while training  subsequently found to have sustained injury to LF leg. Euthanized.,Euthanasia
2020,06/05/2020,EQUINE DEATH,Belmont Park (NYRA),Ruffian,Other,Thoroughbred,,Freedom Prince,THOMAS ALBERTRANI,,Freedom Prince Tr: Albertrani Thomas 4 yo Gelding was taken to Ruffian 5/22/20 & 5/28/2020 for R carpal surgeries.  Ambulanced back to  Ruffian 6/5/2020 for lameness and subsequently euthanized by Dr Claffey due to severe laminitis.,Euthanasia
